Xn,Yn,Isyn1,WWx,Ax,Dx,RMtrx,Prelx,Inhx,time
0.22184323687813018,0.09288021458062781,7.0565615927272124e-06,6.804110640727226e-05,0.00935812799173305,3.109682254165508e-06,0.26405857659127785,0.002180502715650179,0.0006464760413241305,13425000
0.2205536066551551,0.09195141243482152,7.046158255465837e-06,6.804110647390431e-05,0.00926454671181572,2.9541981414573185e-06,0.2640894301497996,0.0023371036992868577,0.0006428053879203126,13435000
0.2192675847129517,0.09103189831047329,7.035512679401145e-06,6.804110654137308e-05,0.00917190124469756,2.806488234384538e-06,0.26412020657442503,0.0024951432857484024,0.000639143823189265,13445000
0.21798522784892688,0.09012157932736853,7.024628202677141e-06,6.804110660938467e-05,0.009080182232250582,2.666163822665397e-06,0.26415090605798885,0.0026546317196923797,0.000635491528390843,13455000
0.21670659136371123,0.08922036353409482,7.0135081335713445e-06,6.804110667767499e-05,0.008989380409928076,2.5328556315322133e-06,0.26418152879284384,0.002815579374527033,0.0006318486803011361,13465000
0.21543172908541502,0.08832815989875387,7.002155769658201e-06,6.80411067460074e-05,0.008899486605828792,2.406212849955688e-06,0.26421207497086163,0.0029779967530186857,0.0006282154512833921,13475000
0.21416069339354832,0.08744487829976633,6.990574391149454e-06,6.804110681417046e-05,0.008810491739770502,2.2859022074579895e-06,0.26424254478343445,0.0031418944879222366,0.0006245920093579742,13485000
0.21289353524261045,0.08657042951676866,6.978767260661183e-06,6.804110688197587e-05,0.008722386822372794,2.1716070970851763e-06,0.2642729384214758,0.0033072833426360804,0.0006209785182713723,13495000
0.21163030418535195,0.08570472522160097,6.966737622989738e-06,6.804110694925657e-05,0.008635162954149064,2.063026742231003e-06,0.26430325607542204,0.003474174211879566,0.0006173751375642732,13505000
0.21037104839571436,0.08484767796938494,6.954488704896411e-06,6.8041107015865e-05,0.00854881132460757,1.9598754051195385e-06,0.2643334979352334,0.0036425781223941023,0.0006137820226387058,13515000
0.20911581469145096,0.08399920118969109,6.942023714900669e-06,6.804110708167138e-05,0.008463323211361493,1.8618816348636475e-06,0.26436366419039525,0.0038125062336666904,0.0006101993248242702,13525000
0.20786464855643333,0.08315920917779418,6.929345843081738e-06,6.804110714656234e-05,0.008378689979247875,1.7687875531205514e-06,0.26439375502991924,0.003983969838676993,0.000606627191443465,13535000
0.20661759416264686,0.08232761708601621,6.916458260888432e-06,6.804110721043936e-05,0.008294903079455396,1.68034817546461e-06,0.26442377064234435,0.004156980364666274,0.0006030657658761208,13545000
0.2053746943918805,0.08150434091515604,6.903364120956998e-06,6.804110727321757e-05,0.00821195404866084,1.5963307666914655e-06,0.26445371121573846,0.004331549373929322,0.0005995151876229544,13555000
0.20413599085711315,0.08068929750600448,6.890066556936827e-06,6.804110733482451e-05,0.00812983450817423,1.5165142283569784e-06,0.2644835769376991,0.004507688564628465,0.0005959755923682524,13565000
0.202901523923602,0.07988240453094442,6.876568683323885e-06,6.804110739519904e-05,0.008048536163092486,1.4406885169392154e-06,0.26451336799535474,0.004685409771629789,0.0005924471120416963,13575000
